,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
48,2.0,3.0,,1.0,,1.0,2.0,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,,,2.0,1.0,2.0,2.0,,1.0,,3.0,,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,2.0,3.0,1.0,,3.0,2.0,3.0,,,1.0,1.0,,1.0,2.0,2.0,3.0,1.0,,,,2.0,3.0,1.0,,2.0,,,,,1.0,3.0,,3.0,2.0,1.0,1.0,3.0,,2.0,2.0,1.0,2.0,2.0,1.0,,2.0,3.0,,,,,1.0,,,1.0,3.0,1.0,1.0,,1.0,1.0,2.0,2.0
49,,,3.0,,1.0,,,,3.0,,2.0,3.0,2.0,3.0,2.0,,2.0,,,1.0,,2.0,2.0,,1.0,,2.0,,,1.0,,,,3.0,2.0,1.0,1.0,2.0,2.0,,2.0,3.0,3.0,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,3.0,1.0,,3.0,,3.0,,1.0,,2.0,,3.0,1.0,1.0,,3.0,,1.0,1.0,,,,,2.0,,1.0,2.0,1.0,,3.0,,,2.0,1.0,,,,1.0,3.0,,2.0,2.0,1.0,2.0,2.0
50,,2.0,,,,2.0,,1.0,2.0,,,,2.0,,2.0,2.0,3.0,3.0,,3.0,,,2.0,2.0,2.0,,,2.0,3.0,,2.0,,2.0,1.0,1.0,2.0,3.0,,2.0,2.0,1.0,2.0,,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,,2.0,1.0,3.0,2.0,1.0,,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,2.0,,,2.0,,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,2.0,3.0,,,3.0,1.0,,1.0,,,
51,,3.0,2.0,3.0,3.0,2.0,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,2.0,,2.0,3.0,1.0,1.0,2.0,1.0,,1.0,3.0,,1.0,1.0,3.0,1.0,,,2.0,1.0,3.0,2.0,,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,,1.0,,,,,2.0,,,2.0,2.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,,1.0,2.0,2.0,1.0,1.0,,,3.0,,3.0,,3.0,1.0,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,
52,1.0,3.0,,,2.0,3.0,,1.0,,1.0,,1.0,,3.0,3.0,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,,3.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,2.0,,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,,2.0,,,,3.0,1.0,2.0,,,2.0,,,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,,2.0,2.0,3.0,1.0,,2.0
53,,2.0,2.0,3.0,,2.0,2.0,,,,,,1.0,,2.0,3.0,,,,2.0,2.0,,,2.0,1.0,2.0,,3.0,1.0,1.0,,3.0,1.0,1.0,,2.0,,,,,1.0,,1.0,,1.0,2.0,2.0,,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,2.0,1.0,,2.0,3.0,,3.0,2.0,1.0,,1.0,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,2.0
54,3.0,2.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,2.0,,,,1.0,,1.0,1.0,2.0,,2.0,,3.0,3.0,1.0,1.0,1.0,2.0,,1.0,3.0,,1.0,1.0,2.0,,2.0,3.0,,1.0,2.0,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,,,,,3.0,1.0,2.0,2.0,2.0,,,2.0,3.0,3.0,1.0,2.0,,,,1.0,2.0,,1.0,,,2.0,3.0,2.0,2.0,,3.0,,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,,2.0,2.0,1.0
55,,3.0,1.0,3.0,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,,,,2.0,,1.0,,,3.0,3.0,3.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,,,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,,,2.0,3.0,1.0,2.0,,,2.0,2.0,,,2.0,2.0,2.0,,,,,,,,,,,3.0,,,3.0,,1.0,2.0,2.0,,,2.0,1.0,2.0,2.0,3.0,,,3.0,,3.0,,,1.0,2.0
56,3.0,3.0,1.0,,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,2.0,,2.0,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,2.0,1.0,2.0,,,,1.0,3.0,,,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,,,2.0,,,3.0,,2.0,2.0,,,,2.0,,1.0,1.0,,1.0,1.0,,,,3.0,2.0,,2.0,,3.0,1.0,3.0,2.0,2.0,2.0,2.0,,1.0,,,,,
57,3.0,1.0,2.0,3.0,,2.0,,2.0,1.0,1.0,,,2.0,,1.0,2.0,,,,2.0,,3.0,1.0,,1.0,3.0,2.0,3.0,2.0,2.0,,,1.0,,1.0,2.0,3.0,3.0,,,3.0,,1.0,1.0,1.0,,,2.0,1.0,,,3.0,2.0,3.0,2.0,2.0,,,,3.0,2.0,3.0,,2.0,1.0,3.0,,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,2.0,1.0,2.0,,
58,,,2.0,,2.0,2.0,2.0,,,,1.0,,1.0,,3.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,,3.0,,2.0,3.0,2.0,2.0,,,1.0,,,,2.0,,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,,1.0,,,3.0,2.0,,,,2.0,2.0,,,,,,,1.0,2.0,,,2.0,1.0,2.0,2.0,,,,,2.0,2.0,1.0,2.0,,3.0,,3.0,3.0,,2.0,2.0,1.0,1.0,1.0,,,2.0,3.0,2.0,1.0,
59,2.0,2.0,1.0,,2.0,,,,,3.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,3.0,3.0,,2.0,2.0,1.0,,,1.0,2.0,2.0,,3.0,,,2.0,2.0,2.0,2.0,1.0,2.0,,,3.0,,2.0,2.0,,,,,2.0,2.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,3.0,2.0,,,,,1.0,3.0,,1.0,1.0,2.0,,3.0,3.0,,2.0,,1.0,,2.0
60,1.0,,1.0,2.0,2.0,,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,,3.0,,2.0,,1.0,,,2.0,2.0,2.0,1.0,,1.0,,1.0,2.0,3.0,2.0,1.0,,3.0,1.0,2.0,,3.0,2.0,3.0,,,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,,1.0,,,1.0,3.0,2.0,,2.0,,1.0,1.0,,,,,2.0,,3.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,,1.0,2.0,1.0,3.0,2.0,2.0,3.0,,
61,,1.0,1.0,1.0,1.0,,,2.0,1.0,3.0,1.0,,,2.0,3.0,3.0,1.0,1.0,,1.0,2.0,2.0,1.0,,2.0,3.0,,,,3.0,1.0,,1.0,,1.0,,3.0,,,3.0,1.0,1.0,1.0,3.0,,,,,1.0,,2.0,1.0,1.0,3.0,,,2.0,1.0,,2.0,,3.0,,2.0,2.0,,3.0,2.0,,1.0,1.0,,,3.0,,,2.0,,1.0,2.0,,2.0,3.0,,,1.0,2.0,1.0,3.0,1.0,,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,3.0
62,2.0,,3.0,2.0,,,,1.0,,2.0,3.0,2.0,3.0,2.0,,3.0,1.0,3.0,,,1.0,2.0,,3.0,3.0,1.0,,2.0,,,,,,2.0,2.0,2.0,1.0,,3.0,,3.0,,,,,,,1.0,2.0,,1.0,1.0,,,2.0,3.0,,2.0,,,3.0,,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,3.0,,1.0,2.0,,,,1.0,,2.0,3.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0
63,2.0,2.0,2.0,,3.0,2.0,1.0,,3.0,,,1.0,2.0,,1.0,,,,3.0,3.0,,1.0,1.0,3.0,,,1.0,,1.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,2.0,,3.0,,2.0,1.0,,,1.0,2.0,,,1.0,1.0,1.0,2.0,2.0,,,,,1.0,1.0,3.0,3.0,2.0,,,,2.0,,3.0,2.0,,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,,,2.0,,1.0,,,1.0,,3.0,1.0,2.0,3.0,1.0,
64,,3.0,3.0,,,3.0,1.0,1.0,,1.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,3.0,3.0,3.0,,,1.0,,,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,,,2.0,3.0,1.0,1.0,,1.0,,,,3.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,2.0,,1.0,,1.0,,,,,2.0,2.0,,1.0,1.0,2.0,3.0,2.0,,,3.0,,1.0,,1.0,2.0,1.0,1.0,,,2.0,3.0,2.0,2.0,,,2.0,2.0,3.0,,1.0,1.0,3.0
65,,2.0,,1.0,,2.0,1.0,3.0,2.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,,1.0,,,1.0,2.0,1.0,2.0,,2.0,,,,1.0,1.0,2.0,1.0,,1.0,,3.0,2.0,1.0,,1.0,,,1.0,,,2.0,3.0,1.0,,,,2.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,2.0,3.0,2.0,,,1.0,,,1.0,3.0,2.0,2.0,,,2.0,,1.0,3.0,,1.0,,3.0,2.0,1.0
66,3.0,,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,3.0,3.0,2.0,2.0,,1.0,3.0,,,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,3.0,,1.0,,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,,2.0,,1.0,2.0,,1.0,2.0,,2.0,2.0,2.0,,3.0,1.0,2.0,3.0,,2.0,,2.0,,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,,1.0,2.0,,3.0,,2.0
67,2.0,2.0,2.0,2.0,1.0,2.0,,3.0,2.0,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,2.0,,3.0,1.0,2.0,,,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,,2.0,2.0,,1.0,,,1.0,1.0,2.0,,3.0,3.0,3.0,1.0,2.0,1.0,,,,1.0,,2.0,1.0,,1.0,,,1.0,2.0,1.0,,2.0,,3.0,2.0,,,1.0,2.0,2.0,,,,1.0,3.0,,3.0,,1.0,,1.0,1.0,,,2.0,,1.0,1.0,,3.0,,1.0,1.0
68,2.0,,,1.0,1.0,,1.0,,3.0,2.0,2.0,,,2.0,1.0,3.0,1.0,1.0,,2.0,2.0,1.0,,,2.0,2.0,3.0,,3.0,,2.0,3.0,1.0,,1.0,,1.0,,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,,,2.0,1.0,2.0,3.0,,,,,,3.0,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,,,1.0,,3.0,1.0,1.0,2.0,3.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,
69,1.0,3.0,3.0,3.0,,3.0,2.0,2.0,,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,3.0,3.0,,,3.0,2.0,2.0,,1.0,2.0,,,,,1.0,2.0,1.0,,2.0,2.0,,,,1.0,1.0,,,1.0,1.0,3.0,1.0,3.0,,2.0,1.0,,,2.0,1.0,,3.0,,,,,2.0,,3.0,2.0,,3.0,2.0,2.0,1.0,1.0,2.0,,3.0,1.0,1.0,3.0,1.0,,,2.0,,2.0,3.0,,,,1.0,2.0,,,2.0,,2.0,1.0,1.0,1.0,
70,,1.0,,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,2.0,3.0,2.0,,,,2.0,1.0,2.0,,,,,1.0,3.0,3.0,1.0,2.0,,,,,,,1.0,,1.0,,1.0,3.0,3.0,,2.0,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,,3.0,,,2.0,,,1.0,2.0,3.0,3.0,3.0,,2.0,1.0,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,2.0,3.0,3.0,,3.0,,2.0,1.0,2.0,,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0
71,3.0,1.0,,,2.0,3.0,,,2.0,,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,,3.0,1.0,1.0,,1.0,,,,3.0,,,2.0,,,1.0,,2.0,2.0,3.0,,1.0,2.0,,,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,,2.0,2.0,2.0,2.0,,3.0,3.0,,,,2.0,,,2.0,1.0,3.0,2.0,,,2.0,,,3.0,1.0,,,,,,,2.0,1.0,2.0,,1.0
72,,3.0,2.0,,,3.0,1.0,1.0,,1.0,1.0,3.0,,,3.0,,2.0,,,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,,2.0,1.0,,1.0,,2.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,1.0,,,,2.0,,,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,,1.0,,,2.0,3.0,1.0,1.0,2.0,2.0,,,1.0,1.0,3.0,1.0,1.0,3.0,,,1.0,,,,3.0,2.0
73,2.0,1.0,1.0,,,,,2.0,,,1.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,,,3.0,,,,1.0,1.0,,3.0,1.0,2.0,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,3.0,,1.0,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,3.0,,2.0,1.0,,,,,,,2.0,,2.0,,,3.0,2.0,,,2.0,2.0,1.0,1.0,2.0,,,,2.0,2.0,,2.0
74,1.0,,,,1.0,,2.0,2.0,,2.0,2.0,1.0,1.0,3.0,1.0,2.0,,,2.0,,2.0,1.0,,2.0,3.0,,3.0,,,,,3.0,2.0,,,1.0,3.0,,,1.0,1.0,2.0,1.0,3.0,,,,2.0,2.0,1.0,,2.0,,2.0,3.0,,2.0,,,1.0,2.0,,3.0,,,3.0,,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,1.0,2.0,,,,2.0,2.0,,,,,,,3.0,,,,,,,2.0,2.0
75,,1.0,2.0,2.0,,,3.0,,3.0,3.0,1.0,,1.0,,2.0,2.0,2.0,,3.0,,,2.0,,2.0,3.0,1.0,,,,,3.0,1.0,1.0,1.0,1.0,2.0,,,2.0,2.0,,,,,2.0,,1.0,,,2.0,2.0,,,2.0,2.0,2.0,,1.0,1.0,1.0,,3.0,3.0,,2.0,,1.0,,1.0,3.0,2.0,2.0,2.0,,,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,3.0,2.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0
76,,3.0,1.0,3.0,,,,1.0,,3.0,,2.0,,2.0,2.0,,,,3.0,2.0,,,1.0,,,2.0,,3.0,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,2.0,1.0,1.0,3.0,2.0,,1.0,,1.0,,2.0,,,,2.0,2.0,,,,1.0,3.0,1.0,3.0,,,3.0,3.0,1.0,,3.0,1.0,1.0,1.0,,,2.0,,1.0,,2.0,1.0,,2.0,1.0,3.0,,,3.0,1.0,2.0,,,2.0,2.0,1.0,,2.0,2.0,,,1.0
77,,3.0,2.0,,2.0,,1.0,2.0,3.0,1.0,2.0,2.0,,1.0,1.0,,,2.0,,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,,1.0,2.0,,,,2.0,3.0,1.0,1.0,1.0,,2.0,,2.0,1.0,3.0,2.0,,2.0,2.0,,1.0,,,,2.0,1.0,1.0,1.0,,,2.0,,,,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,1.0,2.0,3.0,,2.0,2.0,,,,1.0,2.0,2.0,2.0,2.0,
78,,2.0,1.0,3.0,1.0,1.0,1.0,,3.0,,,1.0,2.0,,2.0,1.0,,,1.0,1.0,,3.0,3.0,1.0,2.0,,,1.0,1.0,1.0,3.0,2.0,,,1.0,,1.0,2.0,,3.0,,,1.0,,3.0,1.0,3.0,,3.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,2.0,1.0,2.0,,2.0,,,2.0,1.0,1.0,1.0,,1.0,2.0,,2.0,2.0,3.0,2.0,,2.0,,2.0,1.0,3.0,2.0,2.0,,2.0,2.0,3.0,,
79,,1.0,2.0,2.0,,1.0,2.0,,3.0,,1.0,2.0,,2.0,3.0,,2.0,,1.0,3.0,1.0,2.0,1.0,,3.0,,,,1.0,3.0,,3.0,1.0,3.0,,1.0,2.0,,2.0,1.0,,3.0,,,2.0,3.0,1.0,1.0,2.0,,1.0,2.0,,1.0,2.0,2.0,,,,1.0,1.0,3.0,1.0,3.0,,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,,,2.0,2.0,1.0,2.0,,,,3.0,2.0,,3.0,2.0,2.0,,2.0,2.0,1.0,,2.0,2.0,,,,,
80,3.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,2.0,,3.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,3.0,2.0,,3.0,1.0,,3.0,,,2.0,1.0,,,2.0,,2.0,,,1.0,2.0,1.0,,2.0,1.0,,1.0,2.0,,,2.0,1.0,2.0,,,1.0,1.0,,,3.0,,,,,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,,
81,1.0,3.0,,1.0,3.0,3.0,3.0,1.0,2.0,,2.0,,,,1.0,3.0,2.0,3.0,3.0,3.0,2.0,,,,,2.0,,1.0,,,2.0,,1.0,2.0,2.0,3.0,,2.0,3.0,,2.0,,,,,,,2.0,3.0,,,2.0,,,,2.0,,3.0,,2.0,,,,,1.0,,,1.0,,1.0,,2.0,,,,2.0,1.0,2.0,2.0,,,,,2.0,,1.0,,2.0,3.0,,,1.0,2.0,,3.0,1.0,2.0,3.0,,2.0
82,,1.0,,,,,,2.0,1.0,,3.0,2.0,3.0,,,2.0,1.0,,,3.0,2.0,2.0,2.0,1.0,,,3.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,2.0,,,2.0,,1.0,,2.0,1.0,,,1.0,3.0,2.0,2.0,,1.0,,2.0,,2.0,,,,3.0,1.0,,2.0,2.0,1.0,3.0,,1.0,3.0,1.0,1.0,,2.0,,,,3.0,,
83,,1.0,2.0,,2.0,,1.0,,,1.0,,2.0,,,3.0,,3.0,,,,,1.0,1.0,,1.0,2.0,2.0,3.0,,1.0,2.0,2.0,2.0,,1.0,,3.0,1.0,,3.0,,,3.0,2.0,2.0,,1.0,2.0,,,3.0,2.0,,2.0,,1.0,,,2.0,,,2.0,1.0,,2.0,2.0,3.0,2.0,,3.0,,3.0,,2.0,2.0,2.0,3.0,1.0,,2.0,,1.0,2.0,1.0,,,1.0,,,,,,2.0,3.0,1.0,,,1.0,2.0,
84,,2.0,,1.0,2.0,,,2.0,,1.0,1.0,,,3.0,1.0,3.0,1.0,3.0,1.0,2.0,,2.0,3.0,1.0,1.0,,,1.0,3.0,,,2.0,1.0,2.0,,,2.0,,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,3.0,,,,1.0,,1.0,,1.0,,1.0,,3.0,,2.0,,,,3.0,2.0,2.0,1.0,,3.0,1.0,,,,,2.0,1.0,,2.0,1.0,2.0,,,1.0,1.0,2.0,2.0,,1.0,,,2.0,1.0,2.0,,3.0
85,,,,2.0,2.0,1.0,,3.0,,2.0,2.0,,2.0,1.0,3.0,,1.0,,1.0,,2.0,1.0,,2.0,,2.0,,,1.0,3.0,,,,2.0,3.0,,,,2.0,,3.0,,,3.0,1.0,,1.0,,2.0,,,1.0,,1.0,,2.0,2.0,,1.0,,,2.0,,2.0,3.0,3.0,,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,3.0,,,1.0,,2.0,,2.0,,,3.0,3.0,,2.0,2.0,3.0,
86,1.0,2.0,1.0,2.0,2.0,,2.0,,,,2.0,3.0,,1.0,,2.0,2.0,,,1.0,1.0,,2.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,2.0,2.0,,,,,2.0,2.0,,,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,,,3.0,,2.0,1.0,3.0,1.0,3.0,,3.0,,,,,2.0,,,2.0,,,,2.0,1.0,1.0,3.0,,,3.0
87,,2.0,,,,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,2.0,2.0,1.0,,2.0,,2.0,1.0,2.0,,2.0,3.0,,,3.0,3.0,3.0,2.0,,3.0,2.0,2.0,,,,,2.0,,,1.0,,,,,,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,1.0,,,1.0,,1.0,,1.0,,,2.0,,,,3.0,3.0,2.0,3.0,,2.0,1.0,,,1.0,1.0,,,,2.0,,2.0,,2.0,,2.0,2.0
88,2.0,,3.0,,3.0,2.0,2.0,,,3.0,1.0,1.0,3.0,,,,1.0,,3.0,,3.0,2.0,,,2.0,3.0,,,,,3.0,,1.0,,1.0,2.0,1.0,,,,,2.0,3.0,,1.0,,2.0,,1.0,,1.0,,,3.0,,2.0,1.0,,1.0,2.0,1.0,2.0,,2.0,,,1.0,1.0,2.0,1.0,2.0,,,2.0,1.0,1.0,3.0,,,3.0,2.0,3.0,1.0,,2.0,1.0,,1.0,2.0,2.0,,,2.0,1.0,,1.0,,2.0,3.0,
89,1.0,,1.0,,,3.0,2.0,,1.0,2.0,,3.0,,,1.0,1.0,,2.0,3.0,3.0,2.0,3.0,,,3.0,1.0,,1.0,,,2.0,,2.0,,3.0,2.0,,,1.0,2.0,,3.0,,1.0,,2.0,,,,,1.0,2.0,,,,1.0,2.0,2.0,1.0,,,2.0,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,,,2.0,1.0,,3.0,1.0,1.0,,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,,
90,1.0,3.0,2.0,2.0,2.0,3.0,,2.0,1.0,,2.0,3.0,2.0,,3.0,3.0,3.0,,2.0,,2.0,3.0,2.0,,,,,,,3.0,,1.0,,2.0,,1.0,2.0,,2.0,2.0,2.0,1.0,,,1.0,2.0,,2.0,,,,1.0,,2.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,3.0,2.0,,1.0,,,1.0,1.0,,,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,,,,1.0,2.0,,,1.0,1.0,,3.0
91,2.0,1.0,1.0,1.0,,1.0,,,,2.0,,,1.0,,1.0,,,,2.0,3.0,1.0,3.0,,1.0,1.0,1.0,2.0,,1.0,2.0,,,,2.0,1.0,2.0,,3.0,,1.0,1.0,,,,,1.0,1.0,,,2.0,1.0,2.0,1.0,,3.0,,2.0,,3.0,2.0,1.0,3.0,1.0,1.0,,2.0,2.0,,3.0,,1.0,1.0,2.0,2.0,,,3.0,,1.0,2.0,,2.0,1.0,3.0,,,1.0,,,,,2.0,3.0,,1.0,1.0,2.0,,,3.0
92,,,2.0,1.0,,3.0,3.0,,,1.0,,,2.0,,,2.0,,,,1.0,2.0,3.0,3.0,,,2.0,,,1.0,1.0,1.0,2.0,3.0,,,2.0,1.0,2.0,,,,3.0,1.0,1.0,1.0,,,,,,1.0,3.0,3.0,3.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,2.0,,3.0,,,,,2.0,,,,,2.0,,1.0,,1.0,,,,3.0,,,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,
93,,1.0,2.0,2.0,,1.0,1.0,,,,,2.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,2.0,3.0,,1.0,3.0,,,1.0,2.0,2.0,1.0,,3.0,1.0,3.0,2.0,,3.0,,2.0,3.0,2.0,,,1.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,,2.0,1.0,,1.0,1.0,2.0,3.0,,,,2.0,2.0,3.0,2.0,,,2.0,3.0,,1.0,,,,3.0,,,,,2.0,,2.0,,3.0,,,,2.0,,,2.0,3.0
94,,,1.0,2.0,,1.0,1.0,,1.0,,,2.0,,1.0,,3.0,,2.0,,2.0,2.0,,2.0,,3.0,,,2.0,,2.0,1.0,,,1.0,,2.0,,2.0,2.0,2.0,,2.0,2.0,3.0,1.0,,,1.0,1.0,3.0,,1.0,,2.0,3.0,,3.0,2.0,1.0,,1.0,,,,,,2.0,,3.0,2.0,1.0,,,,2.0,1.0,3.0,,2.0,2.0,,2.0,1.0,2.0,,3.0,,1.0,3.0,,1.0,2.0,,2.0,3.0,1.0,2.0,2.0,,
95,2.0,,3.0,,3.0,1.0,,2.0,,,2.0,3.0,,2.0,,,2.0,1.0,1.0,,,2.0,,1.0,3.0,1.0,2.0,,1.0,3.0,,1.0,3.0,,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,2.0,,1.0,,,2.0,2.0,,,2.0,,,2.0,,,1.0,1.0,,2.0,1.0,,2.0,1.0,2.0,,2.0,3.0,1.0,3.0,,,2.0,,,3.0,3.0,,,2.0,,1.0,3.0,,,,,,,2.0,3.0,2.0,1.0,3.0
96,2.0,2.0,1.0,2.0,2.0,3.0,,,1.0,,3.0,1.0,,,1.0,,2.0,2.0,1.0,,2.0,1.0,,3.0,1.0,,,1.0,,,,3.0,2.0,,1.0,2.0,,3.0,,1.0,2.0,,3.0,,,2.0,,,1.0,2.0,,3.0,,1.0,1.0,3.0,,1.0,,,,1.0,,1.0,2.0,,2.0,,2.0,,,1.0,2.0,3.0,3.0,,3.0,,1.0,1.0,3.0,,2.0,,,,2.0,,3.0,,,1.0,1.0,1.0,,,,1.0,,1.0
